,amt,category,merchant,merch_long,merch_lat,state,gender,new_unix,is_fraud
433117,173.11,4,94,-75.51769499999999,39.977155,38,0,1563001472,0
892387,60.76,7,562,-90.435897,37.115621,24,0,1577201878,0
685888,9.7,6,15,-117.378542,44.309588,13,1,1571522119,0
554392,135.99,4,543,-90.225958,30.000756,25,1,1566695572,0
1095927,69.07,0,644,-90.592266,44.074495,48,1,1585654625,0
1138021,6.4,9,587,-73.884159,40.384874,31,1,1587302293,0
623439,44.59,3,464,-84.176934,39.704135,35,0,1569141336,0
860743,21.03,5,240,-116.00346100000002,32.739274,4,1,1576585568,0
1072870,3.71,12,429,-76.620069,39.126999,45,1,1584834508,0
924708,71.97,1,249,-77.176214,35.146684,27,0,1577830191,0
596748,4.04,10,408,-88.01625200000001,31.170798,1,0,1568064553,0
892836,124.45,6,435,-75.254042,40.33739,38,0,1577213242,0
1253724,103.96,0,567,-83.874208,41.233145,35,0,1591423024,0
53493,4.29,0,133,-121.49568,37.058112,4,1,1549037962,0
629654,31.52,10,254,-72.93490200000001,41.231507,34,0,1569335839,0
80355,58.64,10,54,-79.853574,41.156341,38,1,1550402458,0
639326,34.16,9,156,-96.416497,47.216332,28,1,1569745614,0
847204,7.96,0,195,-96.661713,47.270061,23,0,1576371152,0
645171,1.82,12,400,-91.066388,40.357218,24,1,1569926398,0
639142,2.08,8,269,-102.186303,49.163421,28,0,1569739566,0
80318,133.18,12,601,-102.348472,35.430708,43,1,1550400756,0
1135525,42.14,5,526,-82.73439599999999,41.850963,22,1,1587207768,0
664507,43.98,5,160,-100.758074,41.98238,29,0,1570707016,0
1053694,49.02,2,103,-94.550762,34.029389,36,0,1584095391,0
1232564,8.04,7,424,-79.709082,41.267757,34,1,1590773565,0
272447,4.01,12,656,-96.612174,48.37493,28,0,1557854692,0
400593,47.1,3,479,-79.713939,34.301793,27,1,1561952968,0
544897,5.35,11,443,-70.472402,43.536503,21,1,1566386871,0
410349,55.45,2,157,-82.780026,32.335425,10,0,1562296976,0
1296295,46.82,3,363,-77.85038399999999,38.704985,45,0,1592725735,0
1009098,62.15,2,77,-76.98445699999999,40.262919,38,0,1582097403,0
251633,41.09,6,402,-74.73114100000001,40.803334,31,1,1557078625,0
1253466,53.79,2,181,-96.568528,47.093203,28,0,1591409740,0
1127828,7.63,11,557,-91.316088,29.938604,18,0,1586858261,0
197793,43.33,3,173,-82.666753,28.655749,9,0,1555052931,0
233083,51.12,0,178,-103.135671,46.473572,28,0,1556392964,0
61732,63.45,7,671,-74.99846099999999,44.874108,34,0,1549391918,0
615794,16.62,0,40,-84.709418,34.61996,10,0,1568839124,0
1234720,4.75,7,546,-105.215173,43.194159,50,0,1590853658,0
15750,63.07,3,613,-74.835255,44.2878,34,0,1547091845,0
653176,5.71,10,262,-96.97364,32.091427,43,0,1570287806,0
835076,93.03,2,605,-96.476333,36.1207,36,0,1576132647,0
414187,48.34,7,469,-89.079287,43.182996,14,1,1562422033,0
931708,55.72,2,229,-123.510127,41.063542,4,1,1578213667,0
705558,273.36,8,52,-111.265116,40.603977,44,0,1572228789,0
406829,45.75,5,226,-89.677646,39.850325,14,0,1562166714,0
575801,6.4,1,348,-83.55904,39.519629,35,0,1567339004,0
408088,53.22,2,508,-83.532016,42.28813,22,1,1562212713,0
36474,54.05,2,119,-102.585793,31.158839,43,0,1548133464,0
1021696,167.65,9,82,-86.8406,40.807288,14,0,1582739452,0
1260354,2.71,0,662,-97.021859,36.465346,36,1,1591613631,0
767378,8.79,13,527,-90.123052,36.963867,2,0,1574613623,0
1163331,231.59,9,521,-86.600875,39.827676,15,0,1588230129,0
57517,41.92,3,478,-81.67698,27.299393,9,0,1549235444,0
871302,2.91,12,491,-99.73361,36.73247,36,0,1576851015,0
699415,127.28,4,494,-95.760251,41.061718,29,1,1572050624,0
308778,36.51,12,659,-81.52901999999999,40.544273,35,0,1559154875,0
1065876,18.09,0,195,-106.159239,35.862004,32,1,1584485445,0
180312,73.16,9,136,-81.50001800000001,36.744665000000005,45,1,1554377279,0
835646,69.37,6,91,-79.511742,40.494206,38,1,1576149112,0
1242265,46.01,10,182,-96.090571,46.778406,23,0,1591039513,0
405591,9.14,11,282,-79.98306099999999,34.511452,27,1,1562108242,0
185795,19.11,10,500,-89.404794,39.180341,14,1,1554586078,0
1197823,668.86,11,571,-74.718793,40.722804,34,1,1589574970,0
1271136,115.86,2,498,-124.487997,40.794434,4,0,1591936071,0
752725,107.56,2,559,-78.433575,41.561557,38,0,1574033177,0
925586,4.28,5,226,-99.878217,35.165686,36,0,1577888360,0
1237623,51.97,6,15,-82.159856,26.953502,9,0,1590937591,0
1020769,116.23,7,373,-84.429896,31.726083000000003,10,1,1582670313,0
696504,17.85,6,512,-80.238476,39.77584,49,1,1571925727,0
758049,42.41,6,672,-99.938052,26.824013,43,0,1574252653,0
1199394,169.26,0,547,-73.645142,44.757566,34,0,1589650394,0
1170703,74.23,13,58,-87.068302,41.352392,15,1,1588544548,0
980628,16.95,5,226,-95.303716,48.037816,23,0,1580657433,0
866798,5.02,12,425,-85.848903,40.413473,15,0,1576743856,0
20563,48.84,7,112,-72.53141,43.409204,30,1,1547380437,0
715353,54.42,2,181,-87.7182,36.397469,17,0,1572654008,0
67785,14.78,11,8,-102.037528,47.889565000000005,28,0,1549765476,0
390962,53.2,2,474,-78.850181,32.654236,40,1,1561706458,0
1016634,107.14,5,305,-122.526351,47.33239,47,0,1582479232,0
438767,103.12,1,348,-122.449446,45.7809,37,0,1563133210,0
991241,58.89,2,488,-90.680292,33.467717,25,1,1581215641,0
1171996,18.38,8,142,-94.933251,29.82635,43,0,1588588051,0
1284282,39.32,9,63,-75.50833,40.574303,38,1,1592300775,0
608760,51.95,5,226,-78.845575,35.525884999999995,27,0,1568568669,0
1129356,72.94,0,0,-79.105138,41.304898,38,0,1586895775,0
1066827,79.35,6,148,-71.67556,42.573955,30,1,1584545394,0
1219171,171.66,11,174,-80.302947,39.425857,38,0,1590362062,0
598958,5.32,11,193,-82.918499,28.28926,9,1,1568191601,0
1062514,65.03,1,685,-69.306155,45.008966,21,1,1584393940,0
785584,40.16,4,146,-83.187747,28.059812,9,1,1575186728,0
946880,10.38,5,102,-90.190346,37.663862,24,0,1578927538,0
605853,1.72,13,401,-79.805529,38.224415,49,1,1568487540,0
841773,95.16,4,550,-109.052903,42.370422,50,1,1576282993,0
154408,54.36,4,130,-86.688939,33.280168,1,1,1553383280,0
673736,7.48,11,175,-80.810459,25.835516,9,0,1571020690,0
1201414,6.41,1,165,-96.684292,38.674654,16,0,1589724776,0
70476,121.21,12,201,-74.7371,38.08892,45,1,1549882075,0
636891,22.72,6,680,-87.57585,33.063232,1,1,1569673981,0
700579,13.54,10,254,-93.258667,37.510555,24,0,1572093242,0
1036734,3.87,9,629,-92.877607,39.100445,24,0,1583442335,0
408651,20.39,5,636,-119.328353,34.322526,4,0,1562238326,0
657141,7.63,11,616,-78.247987,39.681116,38,0,1570394961,0
1000602,347.84,10,136,-83.77959399999999,40.936833,35,0,1581712291,0
1078693,102.8,7,197,-82.999303,43.180846,22,1,1585002383,0
818177,78.78,0,644,-92.091448,29.840274,18,1,1575808140,0
1296195,141.45,11,687,-89.535848,31.562085,18,1,1592722689,0
1276193,124.79,4,466,-74.412237,38.488418,20,0,1592116949,0
801397,35.81,5,105,-105.72918,41.929725,50,0,1575476208,0
614762,179.96,4,459,-94.345681,39.920535,16,0,1568790408,0
1160582,50.62,7,169,-92.468427,40.02921,24,1,1588097343,0
298758,38.39,2,407,-88.872085,38.65875,14,1,1558856665,0
322056,221.58,8,290,-94.173467,39.266177,16,0,1559538030,0
634724,18.65,1,215,-105.532176,35.410942,32,1,1569589072,0
1135834,1.26,1,278,-89.24472800000001,39.846222,14,1,1587220245,0
647061,61.66,10,182,-95.506582,29.220928000000004,43,1,1570026710,0
20885,109.01,1,16,-84.091538,31.757303000000004,10,0,1547392320,0
451884,116.39,4,73,-97.717606,33.006962,43,1,1563584017,0
1278905,8.26,12,473,-84.401135,44.15131,22,1,1592181031,0
147927,119.89,4,73,-79.994164,35.43403,27,1,1553124125,0
1017517,114.74,2,389,-82.078971,38.851827,49,1,1582508533,0
779291,62.12,2,272,-80.961412,39.174282,49,1,1575086354,0
325364,83.16,2,605,-88.347677,34.543151,42,1,1559622235,0
497808,14.21,6,155,-81.858175,41.059514,35,0,1564943542,0
181165,72.35,6,91,-84.465053,35.889462,42,1,1554408730,0
551794,5.85,8,475,-117.676476,49.046361,47,0,1566637325,0
1072878,58.7,2,508,-90.302499,37.122899,42,0,1584834933,0
1174413,5.21,11,198,-110.574987,43.812904,50,1,1588651927,0
498299,9.8,1,278,-83.43768299999999,37.336924,17,1,1564952455,0
617513,64.92,6,490,-72.99571999999999,43.075353,19,1,1568920533,0
1143171,96.4,11,209,-72.673536,43.360216,46,1,1587444790,0
270089,11.52,6,188,-88.498848,41.647353,14,0,1557756381,0
120386,35.63,2,272,-97.857007,36.726369,16,0,1552100377,0
676142,46.5,6,97,-80.58636700000001,33.715914,40,1,1571086408,0
1065293,44.48,10,54,-80.56325799999999,35.308495,27,0,1584472779,0
690734,32.05,7,373,-82.3896,26.182964,9,0,1571662696,0
1011851,93.72,11,571,-80.487166,40.888457,38,1,1582277609,0
379629,73.08,10,44,-109.839291,42.816968,50,1,1561316632,0
1033009,2.98,5,258,-81.225309,26.341996,9,0,1583259287,0
174249,149.68,4,147,-77.906181,43.461475,34,1,1554105411,0
1214476,74.91,2,407,-80.65060799999999,39.594872,49,0,1590224563,0
1175171,72.88,0,437,-103.387677,42.413949,41,1,1588677656,0
1254609,59.32,1,485,-87.075777,45.432367,22,1,1591456721,0
911679,148.66,0,28,-95.847507,47.300673,23,0,1577611413,0
1046261,2.18,10,397,-83.201498,41.344525,35,1,1583785261,0
409940,3.41,8,354,-78.60934,39.728046,49,0,1562278430,0
1208095,42.48,7,112,-106.356951,42.063056,50,0,1589911142,0
505126,166.53,4,572,-117.183136,33.417025,4,0,1565171053,0
4993,2.77,11,392,-78.31858199999999,41.650638,38,1,1546574627,0
261469,110.89,7,496,-76.03671800000001,39.699287,38,0,1557490848,0
1168101,71.78,0,40,-81.700024,39.679285,49,0,1588457632,0
172757,29.3,7,643,-104.449469,31.741859,43,0,1554060881,0
1084762,11.48,7,197,-74.549278,41.292977,34,0,1585251088,0
352831,141.18,6,213,-93.236421,34.179072,2,1,1560537809,0
167586,59.94,3,681,-83.66033,39.85928,35,0,1553905929,0
778092,82.58,7,612,-83.53058399999999,36.442449,17,1,1575056257,0
18509,9.1,0,151,-82.17518100000001,27.355252,9,1,1547268185,0
971036,58.41,1,19,-87.091627,41.304977,22,0,1580140504,0
354004,458.07,8,523,-115.906823,42.989244,13,0,1560572818,0
1236015,126.0,4,415,-89.485012,39.349972,14,0,1590892565,0
300697,42.46,7,26,-81.59693100000001,32.169394,40,0,1558895577,0
1233338,56.22,2,117,-99.046648,31.115407,43,0,1590797662,0
214230,463.79,13,203,-89.877065,47.146857,48,1,1555689324,0
610450,2.76,12,131,-90.62027,32.074573,25,1,1568616738,0
39852,40.28,12,179,-80.692138,32.95663,40,0,1548316064,0
1022802,75.38,10,262,-93.819841,35.866489,24,0,1582813874,0
314606,2.07,12,53,-89.85132800000001,42.282602,12,1,1559365566,0
32269,55.94,4,241,-77.74911999999999,38.991053,45,1,1547971972,0
389592,60.75,1,98,-83.91335600000001,40.246612,35,0,1561650858,0
897904,57.02,2,285,-92.082731,30.088218,18,0,1577350105,0
127551,16.65,9,57,-89.665283,34.731148,25,1,1552309891,0
1161869,1.15,12,267,-80.987708,41.051551,35,1,1588156133,0
128832,25.0,10,577,-91.039105,31.234123,18,0,1552340155,0
1044108,96.74,11,6,-90.729204,44.014268,48,1,1583733640,0
143276,88.11,0,637,-81.453401,26.352852,9,1,1552916330,0
1217532,8.86,12,491,-110.180259,39.573575,44,0,1590327180,0
775885,123.26,11,487,-77.81723000000001,36.022302,27,0,1574953121,0
880285,221.04,4,239,-82.947185,36.161327,45,0,1577004350,0
238369,3.15,11,70,-90.123266,32.949012,25,1,1556545195,0
869041,17.32,5,248,-123.845855,40.762623,4,0,1576791188,0
997811,7.57,13,306,-85.754575,39.185585,15,0,1581533264,0
1280476,3.64,5,620,-75.31222,41.408342,31,1,1592221051,0
551977,9.8,8,245,-93.694679,38.667478,24,0,1566642825,0
781803,106.53,0,470,-76.494202,40.473603,38,0,1575128875,0
646442,74.56,2,107,-74.58834300000001,37.885528,45,1,1569992302,0
521311,46.73,7,85,-71.471817,42.82257,19,1,1565630048,0
588848,36.82,2,24,-97.078139,31.077238,43,0,1567841594,0
186415,110.99,9,297,-87.140849,40.957081,15,1,1554606212,0
95703,6.74,10,343,-91.017958,31.913396,18,0,1551132485,0
219081,142.97,10,692,-90.65229,42.323327,12,0,1555847775,0
958747,6.81,10,382,-86.973615,33.634347,1,0,1579525060,0
950702,9.37,12,601,-123.229677,41.198692,4,1,1579166263,0
1113536,15.9,11,209,-88.94057099999999,31.677375,1,0,1586292653,0
471522,10.35,9,225,-86.640447,41.373521,22,0,1564185402,0
245539,28.7,3,324,-77.256206,41.19436,38,1,1556879135,0
416038,60.77,2,381,-99.029261,35.766566999999995,36,0,1562461703,0
248948,55.13,7,496,-111.888753,44.294164,26,1,1557001578,0
419941,1.8,8,448,-71.154263,42.596757,19,0,1562545779,0
64091,43.9,7,169,-76.70575600000001,38.460761,45,1,1549550517,0
911648,222.57,4,86,-73.676005,44.328072,46,0,1577610958,0
696995,24.41,6,663,-87.23021,34.721903999999995,1,1,1571946175,0
747963,28.35,5,105,-98.986769,31.403701,43,0,1573904990,0
1062190,92.7,10,433,-83.637224,42.129262,22,1,1584386872,0
567048,70.67,6,69,-95.671384,31.910127000000003,43,0,1567086965,0
24761,102.61,4,86,-72.56475,41.287315,6,1,1547536460,0
1285830,16.84,10,254,-90.534967,39.935074,14,0,1592331669,0
1016710,13.64,6,46,-72.94330500000001,42.5197,34,1,1582481733,0
731090,4.71,10,1,-91.692306,36.855714,24,0,1573251664,0
1258650,1.84,10,564,-85.559033,44.317419,22,1,1591567565,0
164523,15.7,10,1,-120.531241,39.927426,33,1,1553774371,0
589862,2.87,6,614,-83.605822,39.608971,35,0,1567873164,0
220828,60.07,7,496,-122.00138,44.393113,37,0,1555886517,0
462719,39.18,5,620,-96.703091,35.635142,36,1,1563834212,0
994592,32.89,10,163,-124.27093,43.560769,37,0,1581343753,0
938898,15.65,6,251,-75.292198,39.726084,31,0,1578577670,0
303141,6.09,10,692,-77.497654,41.160714,38,1,1558955650,0
2595,5.61,9,618,-76.45585,43.563036,34,0,1546401939,0
627217,37.21,7,455,-89.0891,40.379314,14,0,1569243493,0
1163871,135.29,12,48,-91.607242,35.319563,2,1,1588257961,0
369722,5.53,11,105,-100.135646,38.242111,16,0,1561039284,0
654497,106.93,8,535,-75.247493,43.289188,34,0,1570322644,0
235772,6.75,9,63,-74.726794,41.87902,34,1,1556472109,0
206523,12.28,0,40,-86.649567,34.329582,1,0,1555333713,0
856349,27.08,0,619,-80.420653,39.566802,49,0,1576501924,0
761437,5.14,12,201,-86.595425,38.370215,15,1,1574415691,0
150644,18.35,7,202,-77.840976,37.804619,45,0,1553260162,0
804221,9.06,10,382,-96.07244,34.012179,36,0,1575547152,0
729693,1.31,8,688,-94.91109,35.092665000000004,36,0,1573192840,0
843849,7.95,8,524,-76.31953399999999,41.521658,38,0,1576324577,0
121551,109.71,0,289,-75.83866,38.877046,31,1,1552140770,0
82425,30.92,1,361,-81.662888,31.39301,10,1,1550485526,0
97591,95.58,5,258,-87.161425,36.876117,42,0,1551204213,0
261995,9.14,6,457,-104.170876,38.117539,5,0,1557511187,0
193953,1.44,8,661,-82.53109599999999,33.798934,40,1,1554859016,0
836571,73.59,6,456,-108.753053,44.355295,26,1,1576167563,0
1219471,74.75,2,103,-89.033394,40.569614,14,1,1590370356,0
879252,1.64,12,467,-71.1824,41.939645,19,0,1576985790,0
184074,68.09,2,157,-112.684546,40.768612,44,0,1554536578,0
831297,8.38,8,535,-106.441931,34.734665,32,0,1576034982,0
579460,85.83,0,81,-100.771935,41.863806,29,0,1567424989,0
39986,53.2,3,664,-69.23700799999999,44.867235,21,1,1548326050,0
709386,163.55,0,125,-94.696724,38.407179,16,0,1572369221,0
639634,55.72,1,599,-79.016808,38.25444,45,1,1569756089,0
573165,40.81,1,219,-87.063924,38.980779,15,0,1567276723,0
1279093,40.75,2,162,-156.49394099999998,65.68435699999999,0,1,1592185550,0
102166,21.83,5,14,-76.054456,42.797990000000006,34,0,1551387323,0
955732,47.6,9,244,-84.023188,38.299261,35,1,1579413319,0
598079,42.37,6,279,-99.384474,31.870533,43,1,1568140151,0
491249,81.99,0,152,-82.783473,39.505338,35,1,1564785042,0
185503,8.77,9,677,-71.275663,42.680481,19,1,1554577768,0
586673,69.56,3,664,-105.44818,43.088968,50,0,1567747190,0
999447,1.12,8,290,-75.540314,39.163622,38,0,1581637755,0
150618,4.5,12,201,-81.32433,28.991326,9,1,1553259454,0
1071103,4.25,9,431,-85.031603,40.747676,15,0,1584754121,0
498226,8.52,12,224,-89.248858,33.792071,25,1,1564951099,0
1001797,3.59,12,67,-123.420748,39.706021,4,0,1581770514,0
435643,12.27,11,616,-123.72763700000002,40.147013,4,0,1563062025,0
1000341,55.88,4,73,-89.434497,34.422668,25,0,1581697843,0
381412,63.77,2,605,-91.318997,34.193579,2,0,1561358698,0
147340,67.38,6,402,-96.158489,32.838253,43,0,1553099112,0
858384,59.96,7,546,-76.412623,42.822088,34,1,1576524938,0
914716,168.68,5,493,-74.290038,41.10559,31,0,1577647720,0
651339,43.82,6,91,-97.748182,35.870202,36,1,1570221443,0
888143,42.59,9,592,-83.93418100000001,36.218137,42,1,1577113602,0
717481,80.38,0,263,-100.101702,30.50756,43,1,1572724181,0
995211,34.17,10,161,-99.537866,39.453714,29,0,1581362138,0
239754,24.67,10,182,-78.22033,43.131662,34,1,1556576048,0
55702,80.28,2,321,-93.411545,41.270077,24,0,1549159455,0
2931,4.44,0,317,-73.08885,42.7033,19,1,1546432449,0
101505,74.36,6,456,-73.537012,42.76265,34,0,1551361956,0
353038,5.25,9,626,-100.22738,40.162589,29,0,1560543704,0
999057,24.22,10,591,-69.759973,44.905639,21,1,1581615685,0
217667,99.04,2,77,-78.402631,38.09951,45,0,1555801282,0
698350,154.52,1,348,-86.322983,43.470434,22,1,1572011676,0
372942,34.76,7,45,-154.784385,19.85766,11,1,1561150259,0
1228682,3.95,12,409,-97.54171,31.581813,43,0,1590617037,0
1203260,60.96,2,162,-94.080907,43.714348,23,1,1589776153,0
765876,70.4,4,550,-81.019628,27.047537,9,0,1574572932,0
1199266,56.61,1,215,-80.14209,38.194793,49,1,1589646240,0
1101253,3.75,9,554,-89.32346899999999,29.674537,1,0,1585887688,0
1072941,94.22,3,436,-83.44965,33.662019,10,1,1584837433,0
418483,2.94,13,71,-117.974983,33.914328999999995,4,1,1562518513,0
831512,63.04,2,99,-94.574446,29.602898,43,1,1576041634,0
562280,56.02,2,181,-90.627628,37.944935,24,0,1566882319,0
231769,9.31,12,491,-86.16104399999999,41.509049,15,1,1556354946,0
501778,517.96,11,198,-81.918684,29.084606,9,0,1565030190,0
252267,62.26,1,569,-118.365665,45.36756,37,1,1557092471,0
926458,120.73,12,131,-72.31009499999999,40.466585,34,1,1577946622,0
1261642,41.22,6,558,-78.166448,39.659273,45,1,1591635344,0
1013881,70.44,6,69,-82.87880799999999,37.764079,17,1,1582377224,0
10971,44.11,9,629,-86.655651,34.132327000000004,1,1,1546868818,0
459615,51.19,2,474,-116.74922,47.031107,47,1,1563767151,0
450778,15.74,10,54,-88.676864,37.333247,24,0,1563548721,0
74253,13.78,7,169,-115.585797,33.460236,4,0,1550011140,0
472531,146.99,4,336,-89.324256,39.156438,14,0,1564219474,0
749975,140.89,8,300,-118.123741,34.616948,4,0,1573964351,0
594609,8.02,11,193,-96.143333,29.682512,43,0,1568007359,0
64694,18.13,11,630,-116.125616,45.363137,13,1,1549583026,0
919556,2.44,12,425,-74.789137,37.779499,20,0,1577717793,0
1253907,26.84,8,172,-83.363316,41.028543,35,0,1591430846,0
315391,12.56,0,666,-98.356704,44.294511,41,0,1559390673,0
86157,3.52,11,70,-81.876927,35.52995,40,0,1550616058,0
341991,99.38,4,64,-91.971794,40.501415,14,1,1560152567,0
417137,68.06,2,332,-70.34503000000001,43.986385,21,0,1562492617,0
478325,6.32,5,207,-80.626704,39.945995,38,0,1564347045,0
210689,10.64,7,671,-98.348281,32.394323,43,1,1555519976,0
1061688,33.24,10,655,-84.876673,40.907966,15,1,1584377148,0
1189415,139.52,6,322,-95.396332,38.961497,16,0,1589227150,0
663797,59.58,2,508,-82.653888,33.06413,40,0,1570667724,0
737588,74.06,2,332,-94.458418,40.48848,24,0,1573448557,0
455647,109.33,2,107,-98.291582,35.762151,36,1,1563681831,0
654310,6.19,5,160,-155.677956,19.944014000000003,11,0,1570316099,0
642362,73.51,2,272,-92.264141,34.175096,2,1,1569826787,0
347691,114.29,12,403,-123.802534,38.362433,4,0,1560346957,0
1025053,203.0,4,608,-108.967521,40.682404,50,0,1583025824,0
826844,50.05,7,126,-79.60874,40.629555,38,1,1575920587,0
591378,366.62,12,610,-79.940664,27.990893,9,1,1567919518,0
1199412,31.94,11,189,-87.239164,42.834297,14,1,1589650819,0
786698,11.34,1,569,-80.762011,41.692982,38,1,1575203729,0
287449,3.62,12,438,-119.209579,33.635234000000004,4,0,1558414818,0
772667,56.81,1,348,-95.948378,37.193857,36,1,1574790779,0
937843,7.67,12,400,-74.738352,42.736628,34,0,1578506997,0
292772,49.91,2,77,-97.913878,29.431912,43,0,1558684120,0
773358,1.24,8,172,-120.635448,38.313749,4,1,1574830448,0
770481,69.92,0,178,-71.655626,44.522238,30,1,1574698504,0
1136903,40.41,9,411,-86.027235,45.472873,22,1,1587261983,0
319006,14.31,7,202,-98.226389,26.649935,43,0,1559476704,0
1065840,80.84,5,445,-116.465426,33.834519,4,0,1584484773,0
179379,2.4,13,527,-79.085279,35.106387,27,0,1554327543,0
368362,88.7,0,139,-81.37133399999999,24.82548,9,1,1560979780,0
1146723,22.01,1,219,-97.439141,36.131838,36,0,1587580235,0
484218,10.53,6,552,-80.6569,41.133311,38,0,1564517789,0
1225529,58.35,5,185,-111.206025,40.763515000000005,44,0,1590507946,0
299681,33.25,6,558,-94.089269,36.803756,24,0,1558877509,0
751771,1.43,5,566,-84.154199,31.866362,10,0,1574012212,0
603599,46.94,9,136,-83.679631,29.691959000000004,9,0,1568410576,0
796088,2.06,11,282,-86.585656,45.252753000000006,22,0,1575326018,0
740111,83.49,11,209,-105.631105,34.180941,32,0,1573521195,0
803320,52.61,2,77,-98.368923,34.719896000000006,36,1,1575522189,0
1044102,64.96,2,99,-72.17424399999999,44.362951,46,0,1583733294,0
609301,78.99,5,166,-89.24481999999999,37.356158,17,1,1568580089,0
948803,62.1,6,596,-123.644043,40.721936,4,1,1579031779,0
390884,56.1,12,656,-94.401339,44.467935,23,1,1561702793,0
846821,9.08,6,362,-103.870371,47.929222,28,0,1576364341,0
807562,170.28,4,645,-75.202125,39.478185,38,0,1575627709,0
282962,1.98,11,571,-82.224659,33.277808,40,0,1558284102,0
1279113,134.32,12,467,-86.905497,37.480056,15,1,1592186165,0
526650,3.9,9,618,-78.167614,43.137153000000005,34,1,1565834171,0
459720,22.15,8,426,-122.689664,46.922604,47,0,1563770204,0
626421,87.96,1,331,-119.202141,34.519137,4,0,1569219661,0
1068333,8.61,12,201,-85.598413,46.466984,22,0,1584626180,0
165216,11.53,10,500,-87.061941,45.354491,22,0,1553801760,0
305526,61.08,2,590,-77.112959,39.862166,20,0,1559008368,0
814070,9.69,11,337,-85.74276,39.079438,15,0,1575744449,0
338241,94.12,4,394,-94.989564,37.008932,24,0,1560069785,0
966371,5.87,10,44,-102.73616,48.560786,28,0,1579965435,0
421154,74.94,0,476,-88.274439,29.788331,1,1,1562579893,0
746020,20.49,7,169,-91.734451,35.84708,2,0,1573829818,0
370015,7.32,12,545,-109.498454,40.766684000000005,44,0,1561047584,0
482003,115.44,7,667,-87.211838,40.839461,15,0,1564430979,0
1049737,9.06,5,276,-81.142139,35.480178,40,0,1583880447,0
1219153,41.31,2,498,-98.59726,44.647867,41,0,1590361394,0
458940,5.73,6,512,-70.30589499999999,43.072585,21,1,1563748792,0
140343,15.79,1,378,-88.381564,47.132926,22,0,1552834220,0
568287,226.02,4,196,-111.72832,34.411256,3,0,1567127910,0
757281,28.33,6,457,-97.472541,36.621807,36,0,1574203461,0
4949,198.03,4,543,-96.245331,32.476118,43,0,1546571201,0
61590,25.45,7,396,-81.233041,31.785922,10,0,1549388182,0
421343,38.06,0,28,-119.429675,39.905382,33,1,1562584620,0
823134,216.17,4,608,-83.367073,30.147692,10,0,1575871032,0
1007915,2.77,0,476,-76.541251,39.723139,38,0,1582010330,0
989883,5.87,11,237,-91.063183,30.589014,18,0,1581164273,0
1067130,31.1,10,520,-112.820508,34.029302,3,0,1584559440,0
1417,22.46,0,139,-82.47206,41.883531,22,1,1546354159,0
571992,11.8,12,491,-95.525683,38.872094,24,0,1567250710,0
983508,930.32,12,491,-104.914701,43.664182,50,0,1580761408,0
912101,206.61,0,167,-82.031153,32.827679,40,0,1577618059,0
